pfam_accession	pfam_id	description
PF25536.2	DUF7920	Domain of unknown function (DUF7920)
PF25537.1	DUF7921	Domain of unknown function (DUF7921)
PF25538.1	DUF7922	Domain of unknown function (DUF7922)
PF25540.2	DUF7923	Domain of unknown function (DUF7923)
PF25545.2	DUF7924	Domain of unknown function (DUF7924)
PF25546.2	DUF7925	Domain of unknown function (DUF7925)
PF25548.2	DUF7926	Domain of unknown function (DUF7926)
PF25549.1	DUF7927	Domain of unknown function (DUF7927)
PF25550.2	DUF7928	Domain of unknown function (DUF7928)
PF25551.2	DUF7929	Domain of unknown function (DUF7929)
PF25558.1	DUF7930	Domain of unknown function (DUF7930)
PF25559.2	DUF7931	Domain of unknown function (DUF7931)
PF25560.2	DUF7932	Domain of unknown function (DUF7932)
PF25564.1	DUF7933	Domain of unknown function (DUF7933)
PF25588.2	DUF7934	Family of unknown function (DUF7934)
PF25589.2	DUF7935	Family of unknown function (DUF7935)
PF25590.2	DUF7936	Domain of unknown function (DUF7936)
PF25592.2	DUF7937	Domain of unknown function (DUF7937)
PF25604.2	DUF7938	Phage family of unknown function (DUF7938)
PF25607.2	DUF7939	Domain of unknown function (DUF7939)
PF25612.2	DUF7940	Family of unknown function (DUF7940)
PF25613.2	DUF7941	Family of unknown function (DUF7941)
PF25637.2	DUF7942	Family of unknown function (DUF7942)
PF25639.2	DUF7943	Domain of unknown function (DUF7943)
PF25642.2	DUF7944	Domain of unknown function (DUF7944)
PF25656.2	DUF7945	Domain of unknown function (DUF7945)
PF25678.2	DUF7946	Domain of unknown function (DUF7946)
PF25679.2	DUF7947	Family of unknown function (DUF7947)
PF25778.2	DUF7948	Domain of unknown function (DUF7948)
PF25820.2	DUF7949	Domain of unknown function (DUF7949)
PF25821.2	DUF7950	Domain of unknown function (DUF7950)
PF25824.1	DUF7951	Repeat of unknown function (DUF7951)
PF25826.2	DUF7952	Domain of unknown function (DUF7952)
PF25829.2	DUF7953	Domain of unknown function (DUF7953)
PF25843.1	DUF7954	Domain of unknown function (DUF7954)
PF25844.1	DUF7955	Domain of unknown function (DUF7955)
PF25845.1	DUF7956	Domain of unknown function (DUF7956)
PF25857.1	DUF7957	Domain of unknown function (DUF7957)
PF25858.1	DUF7958	Family of unknown function (DUF7958)
PF25899.1	DUF7959	Domain of unknown function (DUF7959)
PF25901.1	DUF7960	Family of unknown function (DUF7960)
PF25905.1	DUF7961	Domain of unknown function (DUF7961)
PF25903.1	DUF7961_C	DUF7961 C-terminal domain
PF25902.2	DUF7961_N	DUF7961 N-terminal domain
PF25907.1	DUF7962	Domain of unknown function (DUF7962)
PF25908.1	DUF7963	Domain of unknown function (DUF7963)
PF25912.1	DUF7964	Domain of unknown function (DUF7964)
PF25913.1	DUF7965	Family of unknown function (DUF7965)
PF25920.1	DUF7966	Family of unknown function (DUF7966)
PF25921.1	DUF7967	Family of unknown function (DUF7967)
PF25922.1	DUF7968	Family of unknown function (DUF7968)
PF25923.1	DUF7969	Domain of unknown function (DUF7969)
PF25925.1	DUF7970	Family of unknown function (DUF7970)
PF25926.1	DUF7971	Family of unknown function (DUF7971)
PF25927.1	DUF7972	Family of unknown function (DUF7972)
PF25928.1	DUF7973	Family of unknown function (DUF7973)
PF25929.1	DUF7974	Family of unknown function (DUF7974)
PF25930.1	DUF7975	Family of unknown function (DUF7975)
PF25931.1	DUF7976	Family of unknown function (DUF7976)
PF25932.1	DUF7977	Family of unknown function (DUF7977)
PF25933.1	DUF7978	Family of unknown function (DUF7978)
PF25934.1	DUF7979	Family of unknown function (DUF7979)
PF25937.1	DUF7980	Family of unknown function (DUF7980)
PF25938.1	DUF7981	Domain of unknown function (DUF7981)
PF25939.1	DUF7982	Domain of unknown function (DUF7982)
PF25943.1	DUF7983	Family of unknown function (DUF7983)
PF25945.1	DUF7984	Domain of unknown function (DUF7984)
PF25946.1	DUF7985	Family of unknown function (DUF7985)
PF25948.1	DUF7986	Family of unknown function (DUF7986)
PF25949.1	DUF7987	Family of unknown function (DUF7987)
PF25950.1	DUF7988	Domain of unknown function (DUF7988)
PF25951.1	DUF7989	Family of unknown function (DUF7989)
PF25952.1	DUF7990	Family of unknown function (DUF7990)
PF25953.1	DUF7991	Family of unknown function (DUF7991)
PF25955.1	DUF7992	Family of unknown function (DUF7992)
PF25956.1	DUF7993	Family of unknown function (DUF7993)
PF25957.1	DUF7994	Family of unknown function (DUF7994)
PF25958.1	DUF7995	Domain of unknown function (DUF7995)
PF25959.1	DUF7996	Family of unknown function (DUF7996)
PF25978.1	DUF7997	Domain of unknown function (DUF7997)
PF25979.1	DUF7998	Domain of unknown function (DUF7998)
PF26006.1	DUF7999	Family of unknown function (DUF7999)
PF26007.1	DUF8000	Family of unknown function (DUF8000)
PF26008.1	DUF8001	Family of unknown function (DUF8001)
PF26009.1	DUF8002	Family of unknown function (DUF8002)
PF26010.1	DUF8003	Domain of unknown function (DUF8003)
PF26013.1	DUF8004	Domain of unknown function (DUF8004)
PF26027.1	DUF8005	Family of unknown function (DUF8005)
PF26028.1	DUF8006	Domain of unknown function (DUF8006)
PF26029.1	DUF8007	Family of unknown function (DUF8007)
PF26032.1	DUF8008	Family of unknown function (DUF8008)
PF26033.1	DUF8009	Domain of unknown function (DUF8009)
PF26035.1	DUF8010	Domain of unknown function (DUF8010)
PF26041.1	DUF8011	Family of unknown function (DUF8011)
PF26042.2	DUF8012	Family of unknown function (DUF8012)
PF26043.1	DUF8013	Domain of unknown function (DUF8013)
PF26046.1	DUF8014	Domain of unknown function (DUF8014)
PF26047.1	DUF8015	Family of unknown function (DUF8015)
PF26056.1	DUF8017	Domain of unknown function (DUF8017)
PF26057.1	DUF8018	Domain of unknown function (DUF8018)
PF26058.1	DUF8019	Domain of unknown function (DUF8019)
PF05650.17	DUF802	Domain of unknown function (DUF802)
PF26059.1	DUF8020	Domain of unknown function (DUF8020)
PF26061.1	DUF8021	Domain of unknown function (DUF8021)
PF26067.1	DUF8024	Family of unknown function (DUF8024)
PF26068.1	DUF8025	Domain of unknown function (DUF8025)
PF26069.1	DUF8026	Family of unknown function (DUF8026)
PF26070.1	DUF8027	Domain of unknown function (DUF8027)
PF26071.1	DUF8028	Family of unknown function (DUF8028)
PF26072.1	DUF8029	Family of unknown function (DUF8029)
PF26073.1	DUF8030	Domain of unknown function (DUF8030)
PF26081.1	DUF8031	Domain of unknown function (DUF8031)
PF26087.1	DUF8032	Domain of unknown function (DUF8032)
PF26096.1	DUF8033	Family of unknown function (DUF8033)
PF26099.1	DUF8034	Domain of unknown function (DUF8034)
PF26118.1	DUF8035	Family of unknown function (DUF8035)
PF26119.1	DUF8036	Family of unknown function (DUF8036)
PF26123.1	DUF8037	Domain of unknown function (DUF8037)
PF26124.1	DUF8038	Domain of unknown function (DUF8038)
PF26133.1	DUF8039	Domain of unknown function (DUF8039)
PF26138.1	DUF8040	Domain of unknown function (DUF8040)
PF26145.1	DUF8041	Domain of unknown function (DUF8041)
PF26154.2	DUF8042	Domain of unknown function (DUF8042)
PF26159.1	DUF8043	Domain of unknown function (DUF8043)
PF26161.1	DUF8044	Family of unknown function (DUF8044)
PF26193.1	DUF8045	Domain of unknown function (DUF8045)
PF26219.1	DUF8046	Family of unknown function (DUF8046)
PF26220.1	DUF8047	Family of unknown function (DUF8047)
PF26222.1	DUF8048	Domain of unknown function (DUF8048)
PF26223.1	DUF8049	Domain of unknown function (DUF8049)
PF05656.21	DUF805	Protein of unknown function (DUF805)
PF26224.1	DUF8050	Domain of unknown function (DUF8050)
PF26225.1	DUF8051	Domain of unknown function (DUF8051)
PF26226.1	DUF8052	Domain of unknown function (DUF8052)
PF26227.1	DUF8053	Domain of unknown function (DUF8053)
PF26239.1	DUF8054	Domain of unknown function (DUF8054)
PF26237.1	DUF8054_C	Family of unknown function (DUF8054) C-terminal domain
PF26238.1	DUF8054_M	Family of unknown function (DUF8054) central domain
PF26236.1	DUF8054_N	Family of unknown function (DUF8054) N-terminal domain
PF26240.1	DUF8055	Domain of unknown function (DUF8055)
PF26243.1	DUF8056	Domain of unknown function (DUF8056)
PF26244.1	DUF8057	Family of unknown function (DUF8057)
PF26247.1	DUF8058	Domain of unknown function (DUF8058)
PF26248.1	DUF8059	Domain of unknown function (DUF8059)
PF05657.17	DUF806	Protein of unknown function (DUF806)
PF26256.1	DUF8060	Domain of unknown function (DUF8060)
PF26257.1	DUF8061	Domain of unknown function (DUF8061)
PF26258.1	DUF8062	Family of unknown function (DUF8062)
PF26259.1	DUF8063	Family of unknown function (DUF8063)
PF26260.1	DUF8064	Family of unknown function (DUF8064)
PF26261.1	DUF8065	Family of unknown function (DUF8065)
PF26262.1	DUF8066	Family of unknown function (DUF8066)
PF26263.1	DUF8067	Family of unknown function (DUF8067)
PF26265.1	DUF8068	Integral membrane family of unknown function (DUF8068)
PF26266.1	DUF8069	Domain of unknown function (DUF8069)
PF05660.16	DUF807	Coxiella burnetii protein of unknown function (DUF807)
PF26267.1	DUF8070	Domain of unknown function (DUF8070)
PF26268.1	DUF8071	Domain of unknown function (DUF8071)
PF26269.1	DUF8072	Domain of unknown function (DUF8072)
PF26274.1	DUF8073	Domain of unknown function (DUF8073)
PF26270.1	DUF8073_C	Family of unknown function (DUF8073) C-terminal domain
PF26271.1	DUF8073_M	Family of unknown function (DUF8073), central HTH domain
PF26272.1	DUF8073_N	Family of unknown function (DUF8073) N-terminal domain
PF26275.1	DUF8074	Domain of unknown function (DUF8074)
PF26276.1	DUF8075	Domain of unknown function (DUF8075)
PF26277.1	DUF8076	Domain of unknown function (DUF8076)
PF26284.1	DUF8077	Domain of unknown function (DUF8077)
PF26287.1	DUF8078	Domain of unknown function (DUF8078)
PF26290.1	DUF8079	Repeat of unknown function (DUF8079)
PF05661.18	DUF808	Protein of unknown function (DUF808)
PF26296.1	DUF8080	Domain of unknown function (DUF8080)
PF26297.1	DUF8081	Domain of unknown function (DUF8081)
PF26309.1	DUF8082	Domain of unknown function (DUF8082)
PF26312.1	DUF8083	Domain of unknown function (DUF8083)
PF26329.1	DUF8084	Family of unknown function (DUF8084)
PF26330.1	DUF8085	Family of unknown function (DUF8085)
PF26331.1	DUF8086	Family of unknown function (DUF8086)
PF26332.1	DUF8087	Domain of unknown function (DUF8087)
PF26338.1	DUF8088	Domain of unknown function (DUF8088)
PF26339.1	DUF8089	Domain of unknown function (DUF8089)
PF05663.17	DUF809	Protein of unknown function (DUF809)
PF26350.1	DUF8090	Domain of unknown function (DUF8090)
PF26351.1	DUF8091	Domain of unknown function (DUF8091)
PF26357.1	DUF8092	Domain of unknown function (DUF8092)
PF26362.1	DUF8093	Domain of unknown function (DUF8093)
PF26366.1	DUF8094	Domain of unknown function (DUF8094)
PF26367.1	DUF8095	Domain of unknown function (DUF8095)
PF26372.1	DUF8096	Domain of unknown function (DUF8096)
PF26397.1	DUF8097	Domain of unknown function (DUF8097)
PF26400.1	DUF8098	Domain of unknown function (DUF8098)
PF26401.1	DUF8099	Family of unknown function (DUF8099)
PF26402.1	DUF8100	Domain of unknown function (DUF8100)
PF26403.1	DUF8101	Domain of unknown function (DUF8101)
PF26404.1	DUF8102	Domain of unknown function
PF26405.1	DUF8103	Domain of unknown function (DUF8103)
PF26406.1	DUF8104	Family of unknown function (DUF8104)
PF26407.1	DUF8105	Family of unknown function (DUF8105)
PF26408.2	DUF8106	Domain of unknown function (DUF8106)
PF26409.1	DUF8107	Domain of unknown function (DUF8107)
PF26413.1	DUF8108	Family of unknown function (DUF8108)
PF26440.1	DUF8108_M	Domain of unknown function (DUF8108) central domain
PF26438.1	DUF8108_N	Domain of unknown function (DUF8108) N-terminal domain
PF26414.1	DUF8109	Family of unknown function (DUF8109)
PF26415.1	DUF8110	Domain of unknown function (DUF8110)
PF26416.1	DUF8111	Putative primase C-terminal domain
PF26417.1	DUF8112	Domain of unknown function (DUF8112)
PF26418.1	DUF8113	Domain of unknown function (DUF8113)
PF26419.1	DUF8114	Family of unknown function (DUF8114)
PF26424.1	DUF8115	Domain of unknown function (DUF8115)
PF26426.1	DUF8116	Domain of unknown function (DUF8116)
PF26431.1	DUF8117	Domain of unknown function (DUF8117)
PF26435.2	DUF8118	Domain of unknown function (DUF8118)
PF26436.1	DUF8119	Domain of unknown function (DUF8119)
PF26439.2	DUF8120	Family of unknown function (DUF8120)
PF26441.1	DUF8121	Domain of unknown function (DUF8121)
PF26443.1	DUF8122	Domain of unknown function (DUF8122)
PF26444.1	DUF8123	Domain of unknown function (DUF8123)
PF26445.1	DUF8124	Domain of unknown function (DUF8124)
PF26446.1	DUF8125	Family of unknown function (DUF8125)
PF26447.2	DUF8126	Domain of unknown function (DUF8125) C-terminal domain
PF26448.1	DUF8127	Family of unknown function (DUF8127)
PF26449.1	DUF8128	Domain of unknown function (DUF8128)
PF26450.2	DUF8129	Domain of unknown function (DUF8129)
PF26451.1	DUF8130	Domain of unknown function (DUF8130)
PF26452.1	DUF8131	Domain of unknown function (DUF8131)
PF26453.1	DUF8132	Domain of unknown function (DUF8132)
PF26454.1	DUF8133	Domain of unknown function (DUF8133)
PF26455.1	DUF8134	Domain of unknown function (DUF8134)
PF26456.1	DUF8135	Domain of unknown function (DUF8135)
PF26457.2	DUF8136	Domain of unknown function (DUF8136)
PF26458.1	DUF8137	Domain of unknown function (DUF8137)
PF26459.1	DUF8138	Family of unknown function (DUF8138)
PF26460.1	DUF8139	Domain of unknown function (DUF8139)
PF26463.1	DUF8140	Family of unknown function (DUF8140)
PF26464.1	DUF8141	Domain of unknown function (DUF8141)
PF26465.1	DUF8142	Domain of unknown function (DUF8142)
PF26467.1	DUF8143	Family of unknown function (DUF8143)
PF26469.1	DUF8144	Domain of unknown function (DUF8144)
PF26470.1	DUF8145	Domain of unknown function (DUF8145)
PF26471.1	DUF8146	Family of unknown function (DUF8146)
PF26472.1	DUF8147	Domain of unknown function (DUF8147)
PF26473.1	DUF8148	Domain of unknown function (DUF8148) N-terminal domain
PF26475.1	DUF8148_C	Domain of unknown function (DUF8148) C-terminal domain
PF26474.1	DUF8148_M	Domain of unknown function (DUF8148) central domain
PF26476.1	DUF8149	Domain of unknown function (DUF8149)
PF05673.20	DUF815	Protein of unknown function (DUF815)
PF26477.1	DUF8150	Family of unknown function (DUF8150)
PF26478.1	DUF8151	Domain of unknown function (DUF8151)
PF26479.1	DUF8152	Domain of unknown function (DUF8152)
PF26480.1	DUF8153	Domain of unknown function (DUF8153)
PF26481.1	DUF8154	Domain of unknown function (DUF8154)
PF26482.1	DUF8155	Domain of unknown function (DUF8155) N-terminal domain
PF26483.1	DUF8155_C	Domain of unknown function (DUF8155) C-terminal domain
PF26485.1	DUF8156	Domain of unknown function (DUF8156)
PF26486.1	DUF8157	Domain of unknown function (DUF8157) N-terminal domain
PF26487.1	DUF8157_C	Domain of unknown function (DUF8157) C-terminal domain
PF26488.1	DUF8158	Domain of unknown function (DUF8158)
PF26490.1	DUF8159	Domain of unknown function (DUF8159)
PF05674.18	DUF816	Baculovirus protein of unknown function (DUF816)
PF26492.1	DUF8160	Domain of unknown function (DUF8160)
PF26493.1	DUF8161	Domain of unknown function (DUF8161) N-terminal domain
PF26495.1	DUF8161_C	Domain of unknown function (DUF8161) C-terminal domain
PF26494.1	DUF8162	Domain of unknown function (DUF8162)
PF26496.1	DUF8163	Domain of unknown function (DUF8163)
PF26498.1	DUF8164	Domain of unknown function (DUF8164)
PF26489.1	DUF8165	Domain of unknown function (DUF8165)
PF26500.1	DUF8166	Domain of unknown function (DUF8166)
PF26501.1	DUF8167	Domain of unknown function (DUF8167) N-terminal domain
PF26502.1	DUF8167_2nd	Domain of unknown function (DUF8167) 2nd domain
PF26503.1	DUF8167_3rd	Domain of unknown function (DUF8167) 3rd domain
PF26506.2	DUF8168	Domain of unknown function (DUF8168)
PF26504.1	DUF8168_C	Domain of unknown function (DUF8168) C-terminal domain
PF26505.1	DUF8168_N	Domain of unknown function (DUF8168) N-terminal domain
PF26507.1	DUF8169	Family of unknown function (DUF8169)
PF05675.18	DUF817	Protein of unknown function (DUF817)
PF26508.1	DUF8170	Family of unknown function (DUF8170)
PF26509.1	DUF8171	Family of unknown function (DUF8171)
PF26511.1	DUF8172	Family of unknown function (DUF8172)
PF26514.1	DUF8173	Domain of unknown function (DUF8173)
PF26525.1	DUF8174	Domain of unknown function (DUF8174)
PF26526.1	DUF8175	Domain of unknown function (DUF8175)
PF26527.1	DUF8176	Domain of unknown function (DUF8176)
PF26538.1	DUF8177	Domain of unknown function (DUF8177)
PF26546.1	DUF8178	Family of unknown function (DUF8178)
PF26548.1	DUF8179	Putative peptidyl-prolyl cis-trans isomerase domain
PF05677.19	DUF818	Chlamydia CHLPS protein (DUF818)
PF26551.1	DUF8180	Domain of unknown function (DUF8180)
PF26552.1	DUF8181	Family of unknown function (DUF8181)
PF26554.1	DUF8182	Domain of unknown function (DUF8182)
PF26556.1	DUF8183	Domain of unknown function (DUF8183)
PF26559.1	DUF8184	Family of unknown function (DUF8184)
PF26572.1	DUF8185	Domain of unknown function (DUF8185)
PF26589.1	DUF8186	Domain of unknown function (DUF8186) N-terminal domain
PF26591.1	DUF8186_C	Domain of unknown function (DUF8186) C-terminal domain
PF26590.1	DUF8186_M	Domain of unknown function (DUF8186) central domain
PF26598.1	DUF8187	Domain of unknown function (DUF8187)
PF26603.1	DUF8188	Domain of unknown function (DUF8188)
PF05684.18	DUF819	Protein of unknown function (DUF819)
PF26608.1	DUF8190	Domain of unknown function (DUF8190)
PF26609.1	DUF8191	Domain of unknown function (DUF8191)
PF26612.2	DUF8192	Domain of unknown function (DUF8192)
PF26613.1	DUF8193	Domain of unknown function (DUF8193)
PF26614.1	DUF8194	Domain of unknown function (DUF8194)
PF26615.1	DUF8195	Domain of unknown function (DUF8195)
PF26618.1	DUF8196	Domain of unknown function (DUF8196)
PF26620.1	DUF8197	Family of unknown function (DUF8197)
PF26621.1	DUF8198	Domain of unknown function (DUF8198)
PF26622.1	DUF8199	Family of unknown function (DUF8199)
PF26624.1	DUF8200	Family of unknown function (DUF8200)
PF26626.1	DUF8201	Domain of unknown function (DUF8201)
PF26628.1	DUF8202	Domain of unknown function (DUF8202)
PF26630.1	DUF8203	Domain of unknown function (DUF8203)
PF26631.1	DUF8204	Domain of unknown function (DUF8204)
PF26632.1	DUF8205	Domain of unknown function (DUF8205)
PF26633.1	DUF8206	Domain of unknown function (DUF8206)
PF26634.1	DUF8207	Domain of unknown function (DUF8207)
PF26635.1	DUF8208	Domain of unknown function (DUF8208)
PF26636.1	DUF8209	Family of unknown function (DUF8209)
PF26637.1	DUF8210	Family of unknown function (DUF8210)
PF26638.1	DUF8211	Domain of unknown function (DUF8211)
PF26640.1	DUF8212	Domain of unknown function (DUF8212)
PF26641.1	DUF8213	Domain of unknown function (DUF8213)
PF26646.1	DUF8214	Domain of unknown function (DUF8214)
PF26650.1	DUF8215	Domain of unknown function (DUF8215)
PF26651.1	DUF8216	Family of unknown function (DUF8216)
PF26654.1	DUF8217	Domain of unknown function (DUF8217)
PF26655.1	DUF8218	Domain of unknown function (DUF8218)
PF26656.1	DUF8219	Domain of unknown function (DUF8219)
PF26665.1	DUF8220	Domain of unknown function (DUF8220)
PF26666.1	DUF8221	Domain of unknown function (DUF8221)
PF26667.1	DUF8222	Domain of unknown function (DUF8222)
PF26668.1	DUF8223	Domain of unknown function (DUF8223)
PF26675.1	DUF8224	Domain of unknown function (DUF8224)
PF26676.1	DUF8225	Domain of unknown function (DUF8225)
PF26677.1	DUF8226	Domain of unknown function (DUF8226)
PF26678.1	DUF8227	Domain of unknown function (DUF8227)
PF26679.1	DUF8228	Domain of unknown function (DUF8228)
PF26682.1	DUF8229	Domain of unknown function (DUF8229)
PF26686.1	DUF8230	Domain of unknown function (DUF8230)
PF26685.1	DUF8230_C	Domain of unknown function (DUF8230) C-terminal domain
PF26684.1	DUF8230_N	Domain of unknown function (DUF8230) N-terminal domain
PF26687.1	DUF8231	Family of unknown function (DUF8231)
PF26692.1	DUF8232	Domain of unknown function (DUF8232)
PF26694.1	DUF8233	Domain of unknown function (DUF8233)
PF26695.1	DUF8234	Domain of unknown function (DUF8234)
PF26699.1	DUF8235	Domain of unknown function (DUF8235)
PF26703.1	DUF8236	Domain of unknown function (DUF8236)
PF26707.1	DUF8237	Domain of unknown function (DUF8237)
PF26709.1	DUF8238	Domain of unknown function (DUF8238)
PF26711.1	DUF8239	Domain of unknown function (DUF8239)
PF26712.1	DUF8240	Domain of unknown function (DUF8240)
PF26721.1	DUF8241	Domain of unknown function (DUF8241)
PF26727.1	DUF8242	Domain of unknown function (DUF8242)
PF26731.1	DUF8243	Domain of unknown function (DUF8243)
PF26736.1	DUF8244	Family of unknown function (DUF8244)
PF26739.1	DUF8245	Domain of unknown function (DUF8245)
PF26740.1	DUF8246	Domain of unknown function (DUF8246)
PF26742.1	DUF8247	Domain of unknown function (DUF8247)
PF26746.1	DUF8248	Domain of unknown function (DUF8248)
PF26754.1	DUF8249	Domain of unknown function (DUF8249)
PF26757.1	DUF8250	Domain of unknown function (DUF8250)
PF26770.1	DUF8251	Domain of unknown function (DUF8251)
PF26780.1	DUF8252	Domain of unknown function (DUF8252)
PF26781.1	DUF8253	Domain of unknown function (DUF8253)
PF26782.1	DUF8254	Domain of unknown function (DUF8254)
PF26783.1	DUF8255	Domain of unknown function (DUF8255)
PF26784.1	DUF8256	Domain of unknown function (DUF8256)
PF26785.1	DUF8257	Domain of unknown function (DUF8257)
PF26786.1	DUF8258	Domain of unknown function (DUF8258)
PF26787.1	DUF8259	Domain of unknown function (DUF8259)
PF05696.18	DUF826	Protein of unknown function (DUF826)
PF26788.1	DUF8260	Domain of unknown function (DUF8260)
PF26789.1	DUF8261	Domain of unknown function (DUF8261)
PF26790.1	DUF8262	Domain of unknown function (DUF8262)
PF26792.1	DUF8263	Domain of unknown function (DUF8263)
PF26793.1	DUF8264	Domain of unknown function (DUF8264)
PF26795.1	DUF8265	Domain of unknown function (DUF8265)
PF26796.1	DUF8266	Domain of unknown function (DUF8266)
PF26797.1	DUF8267	Domain of unknown function (DUF8267)
PF26799.1	DUF8268	Domain of unknown function (DUF8268)
PF26800.1	DUF8269	Domain of unknown function (DUF8269)
PF26802.1	DUF8270	Domain of unknown function (DUF8270)
PF26836.1	DUF8271	Domain of unknown function (DUF8271)
PF26839.1	DUF8272	Family of unknown function (DUF8272)
PF26842.1	DUF8273	Domain of unknown function (DUF8273)
PF26910.1	DUF8274	Domain of unknown function (DUF8274)
PF26916.1	DUF8275	Domain of unknown function (DUF8275)
PF26921.1	DUF8276	Domain of unknown function (DUF8276)
PF26922.1	DUF8277	Domain of unknown function (DUF8277)
PF26923.1	DUF8278	Domain of unknown function (DUF8278)
PF26928.1	DUF8279	Domain of unknown function (DUF8279)
PF26929.1	DUF8280	Domain of unknown function (DUF8280)
PF26930.1	DUF8281	Domain of unknown function (DUF8281)
PF26931.1	DUF8282	Domain of unknown function (DUF8282)
PF26932.1	DUF8283	Domain of unknown function (DUF8283)
PF26933.1	DUF8284	Domain of unknown function (DUF8284)
PF26934.1	DUF8285	Domain of unknown function (DUF8285)
PF26935.1	DUF8286	Domain of unknown function (DUF8286)
PF26936.1	DUF8287	Domain of unknown function (DUF8287)
PF26937.1	DUF8288	Domain of unknown function (DUF8288)
PF26938.1	DUF8289	Domain of unknown function (DUF8289)
PF05705.21	DUF829	Eukaryotic protein of unknown function (DUF829)
PF26939.1	DUF8290	Domain of unknown function (DUF8290)
PF26940.1	DUF8291	Domain of unknown function (DUF8291)
PF26941.1	DUF8292	Domain of unknown function (DUF8292)
PF26942.1	DUF8293	Domain of unknown function (DUF8293)
PF26943.1	DUF8294	Domain of unknown function (DUF8294)
PF26945.1	DUF8295	Domain of unknown function (DUF8295)
PF26948.1	DUF8296	Domain of unknown function (DUF8296)
PF26949.1	DUF8297	Domain of unknown function (DUF8297)
PF26950.1	DUF8298	Domain of unknown function (DUF8298)
PF26951.1	DUF8299	Domain of unknown function (DUF8299)
PF26952.1	DUF8300	Domain of unknown function (DUF8300)
PF26953.1	DUF8301	Domain of unknown function (DUF8301)
PF26962.1	DUF8302	Domain of unknown function (DUF8302)
PF26963.1	DUF8303	Domain of unknown function (DUF8303)
PF26966.1	DUF8304	Domain of unknown function (DUF8304)
PF26969.1	DUF8305	Domain of unknown function (DUF8305)
PF26972.1	DUF8306	Domain of unknown function (DUF8306)
PF26974.1	DUF8307	Domain of unknown function (DUF8307)
PF26975.1	DUF8308	Domain of unknown function (DUF8308)
PF26977.1	DUF8309	Domain of unknown function (DUF8309)
PF26979.1	DUF8310	Domain of unknown function (DUF8310)
PF26982.1	DUF8311	Domain of unknown function (DUF8311)
PF26983.1	DUF8312	Domain of unknown function (DUF8312)
PF26985.1	DUF8313	Domain of unknown function (DUF8313)
PF26988.1	DUF8314	Domain of unknown function (DUF8314)
PF26989.1	DUF8315	Domain of unknown function (DUF8315)
PF26990.1	DUF8316	Domain of unknown function (DUF8316)
PF26991.1	DUF8317	Domain of unknown function (DUF8317)
PF26992.1	DUF8318	Domain of unknown function (DUF8318)
PF26993.1	DUF8319	Domain of unknown function (DUF8319)
PF05734.17	DUF832	Herpesvirus protein of unknown function (DUF832)
PF26994.1	DUF8320	Domain of unknown function (DUF8320)
PF26995.1	DUF8321	Domain of unknown function (DUF8321)
PF26997.1	DUF8322	Domain of unknown function (DUF8322)
PF26998.1	DUF8323	Domain of unknown function (DUF8323)
PF27003.1	DUF8324	Domain of unknown function (DUF8324)
PF27004.1	DUF8325	Domain of unknown function (DUF8325)
PF27005.1	DUF8326	Domain of unknown function (DUF8326)
PF27006.1	DUF8327	Domain of unknown function (DUF8327)
PF27007.1	DUF8328	Domain of unknown function (DUF8328)
PF27009.1	DUF8329	Domain of unknown function (DUF8329)
PF27010.1	DUF8330	Domain of unknown function (DUF8330)
PF27011.1	DUF8331	Family of unknown function (DUF8331)
PF27012.1	DUF8332	Domain of unknown function (DUF8332)
PF27013.1	DUF8333	Domain of unknown function (DUF8333)
PF27014.1	DUF8334	Domain of unknown function (DUF8334)
PF27019.1	DUF8335	Domain of unknown function (DUF8335)
PF27025.1	DUF8336	Domain of unknown function (DUF8336)
PF27026.1	DUF8337	Domain of unknown function (DUF8337)
PF27029.1	DUF8338	Domain of unknown function (DUF8338)
PF27031.1	DUF8339	Domain of unknown function (DUF8339)
PF05754.20	DUF834	Domain of unknown function (DUF834)
PF27033.1	DUF8340	Domain of unknown function (DUF8340)
PF27032.1	DUF8340_N	Domain of unknown function (DUF8340) N-terminal domain
PF27037.1	DUF8341	Domain of unknown function (DUF8341)
PF27034.1	DUF8341_C	DUF8341 C-terminal domain
PF27040.1	DUF8342	Domain of unknown function (DUF8342)
PF27038.1	DUF8342_N	DUF8342 N-terminal domain
PF27042.1	DUF8343	Domain of unknown function (DUF8343)
PF27043.1	DUF8344	Domain of unknown function (DUF8344)
PF27071.1	DUF8345	Family of unknown function (DUF8345)
PF27094.1	DUF8346	Domain of unknown function (DUF8346)
PF27110.1	DUF8347	Domain of unknown function (DUF8347)
PF27504.1	DUF8348	Domain of unknown function (DUF8348)
PF27509.1	DUF8349	Domain of unknown function (DUF8349)
PF05763.19	DUF835	Protein of unknown function (DUF835)
PF27615.1	DUF8350	Domain of unknown function (DUF8350)
PF27616.1	DUF8351	Domain of unknown function (DUF8351)
PF27617.1	DUF8352	Domain of unknown function (DUF8352)
PF27619.1	DUF8353	Domain of unknown function (DUF8353)
PF27620.1	DUF8354	Domain of unknown function (DUF8354)
PF27621.1	DUF8355	Domain of unknown function (DUF8355)
PF27622.1	DUF8356	Domain of unknown function (DUF8356)
PF27623.1	DUF8357	Domain of unknown function (DUF8357)
PF27625.1	DUF8358	Domain of unknown function (DUF8358)
